user_email,user_name,category,time_spent,video_count
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,Sports,0 min,1
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,People & Blogs,57 min,6
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,Entertainment,22 min,2
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,Comedy,85 min,6
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,Gaming,469 min,13
user_random_933ed9488e394a9d,user_random_933ed9488e394a9d,Music,2 min,1
