user_email,user_name,category,time_spent,video_count
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Music,61 min,19
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Entertainment,34 min,9
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,People & Blogs,88 min,23
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Education,32 min,1
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Gaming,21 min,1
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Howto & Style,23 min,1
user_random_5999a4a9fba14777,user_random_5999a4a9fba14777,Comedy,55 min,1
