Actvitiy,x,y,z,Cluster,Activity_raw,Cluster_Name
2,0.0505771897661131,0.0046571248278424,0.0004146605497912,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.1531848851158391,-0.0195633237791512,-0.0045970444051992,2,Conditioning Exercise,Cluster 2: Low-Actvitiy / Occupation
2,0.045011122162506,0.0161457306058737,0.0123762260749374,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.042471624371913,0.0152664508351343,0.0117030961048351,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0507746554281954,0.0055791908178439,0.0152997237180283,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0252320014018871,0.0032282210266297,0.0139777855496497,8,Conditioning Exercise,Cluster 8: Low-Actvitiy / Home Activities
2,0.0071373276575715,-0.0029615083777661,-0.0003322829692844,8,Conditioning Exercise,Cluster 8: Low-Actvitiy / Home Activities
2,0.006603564325634,-0.0027601185682366,-0.0003378802762027,8,Conditioning Exercise,Cluster 8: Low-Actvitiy / Home Activities
2,0.0675077771541391,0.0456779237318646,0.0017027886236165,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0210950157561101,-0.0082636447395164,-0.000325032187075,8,Conditioning Exercise,Cluster 8: Low-Actvitiy / Home Activities
2,0.0568510996343864,0.0379885861594235,0.0014375567291492,1,Conditioning Exercise,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0276088693554733,-0.0130330533906629,0.0086572166343306,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
2,0.0443819849304068,-0.0304663764979328,0.0274970061011452,3,Dancing,Cluster 3: Low-Actvitiy / Conditioning Exercise
2,0.0186514615428331,-0.008864738738272,0.0011550664070368,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
2,0.0546292576566905,0.0279061058364848,0.003594308805868,1,Dancing,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0943965756007399,0.0046932074196393,-0.0106535665305217,1,Dancing,Cluster 1: Low-Actvitiy / Conditioning Exercise
2,0.0705158443465178,0.0108985544378655,0.0511696606428696,3,Dancing,Cluster 3: Low-Actvitiy / Conditioning Exercise
3,0.071838191312053,0.0110776280948835,-0.0242935428380264,1,Dancing,Cluster 1: Low-Actvitiy / Conditioning Exercise
3,0.0622959883929918,0.0100135735852494,-0.0015767589532115,1,Dancing,Cluster 1: Low-Actvitiy / Conditioning Exercise
3,0.0429132060014884,-0.0046859746328014,-0.0146864245202959,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
3,0.0230032143534694,-0.006706016069418,-0.0187171621109617,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
3,0.0021542051823136,0.0002447043117228,-0.0012016657883615,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
3,0.0010835049274835,-0.0003673543932194,-0.0014364890744365,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
3,0.0633190744042557,-0.0654983711774826,-0.0081226115546909,2,Dancing,Cluster 2: Low-Actvitiy / Occupation
