Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
19,Bicycling,Unicycling,4,0.0,0.0,0.0,0.0,0.0
20,Bicycling,E-bike (electrically assisted) without electronic support,4,0.01887145703813512,-0.007207038913138656,0.0021803321813836716,0.01887145703813512,-0.007207038913138656
21,Bicycling,E-bike (electrically assisted) with light electronic support,4,0.07329871316585035,-0.04799362185417945,-0.033198391313903855,0.07329871316585035,-0.04799362185417945
22,Bicycling,E-bike (electrically assisted) with high electronic support,0,0.04133020970518131,-0.017941350339559285,0.02256562241605243,0.04133020970518131,-0.017941350339559285
44,Conditioning Exercise,"Aerobic, step, with 4-inch step",0,0.05485051067581771,0.0453627262930289,0.01307695644724378,0.05485051067581771,0.0453627262930289
45,Conditioning Exercise,"Aerobic, step, with 6 – 8 inch step",0,0.05485051067581771,0.0453627262930289,0.01307695644724378,0.05485051067581771,0.0453627262930289
46,Conditioning Exercise,"Aerobic, step, with 10 – 12 inch step",0,0.06292906454639746,0.03260139312289088,0.09317268811142448,0.06292906454639746,0.03260139312289088
49,Conditioning Exercise,"Aerobic dance, high impact, vigorous effort",2,0.2291868370642246,-0.12226019226658422,-0.01799398411259312,0.2291868370642246,-0.12226019226658422
50,Conditioning Exercise,Aerobic dance wearing 10-15 lb weights,0,0.04930318214124034,0.0029998249128988515,0.0789685580732562,0.04930318214124034,0.0029998249128988515
51,Conditioning Exercise,"Army type obstacle course exercise, boot camp training program",0,0.06499763799401374,0.019569112828393034,0.0586993277039521,0.06499763799401374,0.019569112828393034
52,Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",2,0.10820097111018243,-0.0731856481928617,-0.018287110525737095,0.10820097111018243,-0.0731856481928617
53,Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",2,0.1355888801990122,-0.10952338103921905,-0.03839679042017685,0.1355888801990122,-0.10952338103921905
56,Conditioning Exercise,"Circuit training, body weight exercises",0,0.08030547612305389,0.012920299054291285,0.05591875470925429,0.08030547612305389,0.012920299054291285
60,Conditioning Exercise,Curves™ exercise routines in women,0,0.06216103511670035,0.025281050213038475,0.028048672464416023,0.06216103511670035,0.025281050213038475
