Actvitiy,Description
Conditioning Exercise,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity"
Conditioning Exercise,"Water aerobics, water calisthenics, water exercise"
Conditioning Exercise,"Whirlpool, sitting"
Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort"
Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate"
Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous"
Conditioning Exercise,"Yoga, Hatha"
Conditioning Exercise,"Yoga, Hatha, high intensity"
Conditioning Exercise,"Yoga, Hot"
Conditioning Exercise,"Yoga, Power"
Conditioning Exercise,"Yoga, Nadisodhana"
Conditioning Exercise,"Yoga, General"
Conditioning Exercise,"Yoga, Surya Namaskar"
Conditioning Exercise,"Yoga, Vinyasa"
Conditioning Exercise,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort"
Conditioning Exercise,"Native New Zealander PA, general, vigorous effort"
Conditioning Exercise,"High intensity interval exercise,  moderate effort"
Conditioning Exercise,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort"
Conditioning Exercise,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo"
Conditioning Exercise,Hooping (formerly known as hula® hooping)
Conditioning Exercise,"Impulse Training System, Inertial Exercise Trainer"
Conditioning Exercise,"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity"
Conditioning Exercise,"ExerCube, workout series"
Conditioning Exercise,"Blackbox Immersive virtual reality exergaming system, vigorous intensity"
Conditioning Exercise,"Wand exercise, Life-Build-Line"
Conditioning Exercise,"Zumba, group class"
Conditioning Exercise,"Zumba, home video"
Conditioning Exercise,"Sit to stand exercise, 6-12 times/min"
Conditioning Exercise,"Sit to stand exercise, 18-24 times/min"
Dancing,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)"
Dancing,"Ballet, modern, or jazz general, rehearsal or class"
Dancing,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)"
Dancing,"Ballet, modern, or jazz, performance, vigorous effort"
Dancing,Tap
Dancing,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)"
Dancing,"Chinese square dance, Ballet & Tibetan dance"
Dancing,"Chinese square dance, aerobic dance"
Dancing,"Ballroom dancing, fast (Taylor Code 125)"
Dancing,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)"
Dancing,"Folk dancing, moderate effort"
Dancing,"Ballroom dancing, competitive, general"
Dancing,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba,"
Dancing,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba,  paso doble, jive)"
Dancing,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha"
Dancing,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)"
Dancing,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort"
Dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu,"
Dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu,  Kumina,  Oreisha, Jambu)"
Dancing,"Contemporary dancing, general"
Dancing,"Contemporary dancing, nightclub"
Dancing,Flamenco dance
Dancing,"Jazz dancing, general"
Dancing,"Musical Theater, Singing/dancing"
Dancing,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan"
Dancing,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling"
Dancing,"Polynesian dance, Samoan slap, Tahitian"
Dancing,"Salsa Dancing, with partner"
Dancing,"Salsa dancing, to a video"
Dancing,"Square Dancing, American Western, country"
Fishing & Hunting,"Fishing, general"
Fishing & Hunting,"Fishing, crab fishing"
Fishing & Hunting,"Fishing, catching fish with hands"
Fishing & Hunting,"Fishing related, digging worms, with shovel"
Fishing & Hunting,Fishing from river bank and walking
Fishing & Hunting,"Fishing from boat or canoe, sitting"
Fishing & Hunting,"Fishing from river bank, standing (Taylor Code 660)"
Fishing & Hunting,"Fishing in stream, in waders (Taylor Code 670)"
Fishing & Hunting,"Fishing, ice, sitting"
Fishing & Hunting,"Fishing, jig or line, standing, general"
Fishing & Hunting,"Fishing, dip net, setting net and retrieving fish, general"
Fishing & Hunting,"Fishing, set net, setting net and retrieving fish, general"
Fishing & Hunting,"Fishing, fishing wheel, setting net and retrieving fish, general"
Fishing & Hunting,"Fishing with a spear, standing"
Fishing & Hunting,"Hunting, bow and arrow or crossbow"
Fishing & Hunting,"Hunting, deer, elk, large game (Taylor Code 170)"
Fishing & Hunting,"Hunting large game, dragging carcass"
Fishing & Hunting,Hunting large marine animals
